"","benchmark","class","run","timeBudget","tool","score"
"202","SPOON-155","spoon.reflect.visitor.filter.AllMethodsSameSignatureFunction",3,60,"evosuite",0.13432837
"203","SPOON-169","spoon.reflect.visitor.ImportScannerImpl",3,60,"evosuite",0
"204","SPOON-16","spoon.reflect.path.CtElementPathBuilder",3,60,"evosuite",0.181879658
"205","SPOON-20","spoon.support.reflect.reference.CtLocalVariableReferenceImpl",3,60,"evosuite",0.82857143
"206","SPOON-211","spoon.reflect.path.impl.CtRolePathElement",3,60,"evosuite",0.34028684
"207","SPOON-253","spoon.pattern.internal.parameter.MapParameterInfo",3,60,"evosuite",2.9199561
"208","SPOON-25","spoon.pattern.internal.ValueConvertorImpl",3,60,"evosuite",0
"209","SPOON-32","spoon.MavenLauncher",3,60,"evosuite",0.8166667
"210","SPOON-65","spoon.support.DefaultCoreFactory",3,60,"evosuite",0
"211","GUAVA-2","com.google.common.collect.MinMaxPriorityQueue",4,60,"evosuite",0.75078619
"212","GUAVA-22","com.google.common.graph.Graphs",4,60,"evosuite",1.956427
"213","GUAVA-39","com.google.common.collect.TreeMultiset",4,60,"evosuite",1.20576918
"214","GUAVA-47","com.google.common.collect.FilteredEntryMultimap",4,60,"evosuite",0
"215","GUAVA-90","com.google.common.io.FileBackedOutputStream",4,60,"evosuite",6.84779866
"216","GUAVA-95","com.google.common.collect.ComparatorOrdering",4,60,"evosuite",0.08333334
"217","GUAVA-102","com.google.common.collect.LinkedListMultimap",4,60,"evosuite",0.97661356
"218","GUAVA-110","com.google.common.collect.LexicographicalOrdering",4,60,"evosuite",0
"219","GUAVA-128","com.google.common.base.Throwables",4,60,"evosuite",6.13092302
"220","GUAVA-129","com.google.common.collect.SparseImmutableTable",4,60,"evosuite",2.09201973228272
"221","GUAVA-159","com.google.common.primitives.ParseRequest",4,60,"evosuite",5
"222","GUAVA-169","com.google.common.math.LongMath",4,60,"evosuite",6.8229842
"223","GUAVA-177","com.google.common.primitives.Doubles",4,60,"evosuite",6.9559019
"224","GUAVA-181","com.google.common.primitives.SignedBytes",4,60,"evosuite",7
"225","GUAVA-184","com.google.thirdparty.publicsuffix.PublicSuffixType",4,60,"evosuite",7
"226","GUAVA-196","com.google.common.io.Closeables",4,60,"evosuite",4.80000004
"227","GUAVA-206","com.google.common.collect.ImmutableEnumSet",4,60,"evosuite",1.18506496
"228","GUAVA-212","com.google.common.net.MediaType",4,60,"evosuite",2.629901
"229","GUAVA-224","com.google.common.primitives.UnsignedLongs",4,60,"evosuite",7
"230","GUAVA-240","com.google.common.collect.FilteredMultimapValues",4,60,"evosuite",0.03846154
"231","PDFBOX-8","org.apache.pdfbox.pdmodel.font.FileSystemFontProvider",4,60,"evosuite",4.05832903
"232","PDFBOX-22","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret",4,60,"evosuite",2.0952381
"233","PDFBOX-26","org.apache.pdfbox.pdmodel.encryption.SecurityProvider",4,60,"evosuite",6.47368423
"234","PDFBOX-40","org.apache.pdfbox.pdmodel.font.PDCIDFontType2",4,60,"evosuite",1.8494095
"235","PDFBOX-62","org.apache.pdfbox.rendering.PageDrawer",4,60,"evosuite",0
"236","PDFBOX-83","org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode",4,60,"evosuite",6.3571429
"237","PDFBOX-91","org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent",4,60,"evosuite",3
"238","PDFBOX-117","org.apache.pdfbox.filter.Predictor",4,60,"evosuite",2.3345191
"239","PDFBOX-127","org.apache.pdfbox.pdfparser.PDFObjectStreamParser",4,60,"evosuite",3.02331362
"240","PDFBOX-130","org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner",4,60,"evosuite",0.29793103
"241","PDFBOX-157","org.apache.pdfbox.pdmodel.font.PDType1Font",4,60,"evosuite",0
"242","PDFBOX-198","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine",4,60,"evosuite",1.3252033
"243","PDFBOX-214","org.apache.pdfbox.pdfparser.EndstreamOutputStream",4,60,"evosuite",5.18181824
"244","PDFBOX-220","org.apache.pdfbox.filter.JPXFilter",4,60,"evosuite",0.48111888
"245","PDFBOX-229","org.apache.pdfbox.util.XMLUtil",4,60,"evosuite",1.425714304
"246","PDFBOX-234","org.apache.pdfbox.pdmodel.interactive.action.PDActionSound",4,60,"evosuite",2.75452196
"247","PDFBOX-235","org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder",4,60,"evosuite",0
"248","PDFBOX-265","org.apache.pdfbox.pdmodel.font.PDType3Font",4,60,"evosuite",1.5173611
"249","PDFBOX-278","org.apache.pdfbox.pdfwriter.ContentStreamWriter",4,60,"evosuite",2.84339818
"250","PDFBOX-285","org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature",4,60,"evosuite",2.80719292
"251","FESCAR-2","com.alibaba.fescar.core.service.ServiceManagerStaticConfigImpl",4,60,"evosuite",0.31578945
"252","FESCAR-5","com.alibaba.fescar.core.protocol.MessageFuture",4,60,"evosuite",7
