"","benchmark","class","tool","budget","config","score.mean","score.sd"
"63","GUAVA-196","com.google.common.io.Closeables","randoop",60,"GUAVA-196_com.google.common.io.Closeables_60",1.69938748382915,0.0026184404032087
"64","GUAVA-196","com.google.common.io.Closeables","randoop",180,"GUAVA-196_com.google.common.io.Closeables_180",1.73296309541468,0.00272196590189545
"65","GUAVA-206","com.google.common.collect.ImmutableEnumSet","evosuite",60,"GUAVA-206_com.google.common.collect.ImmutableEnumSet_60",1.012013012,0.497832484123245
"66","GUAVA-206","com.google.common.collect.ImmutableEnumSet","evosuite",180,"GUAVA-206_com.google.common.collect.ImmutableEnumSet_180",1.056385305,0.527771853610754
"67","GUAVA-206","com.google.common.collect.ImmutableEnumSet","randoop",60,"GUAVA-206_com.google.common.collect.ImmutableEnumSet_60",0,0
"68","GUAVA-206","com.google.common.collect.ImmutableEnumSet","randoop",180,"GUAVA-206_com.google.common.collect.ImmutableEnumSet_180",0,0
"69","GUAVA-212","com.google.common.net.MediaType","evosuite",60,"GUAVA-212_com.google.common.net.MediaType_60",2.477055582,0.0982837324810736
"70","GUAVA-212","com.google.common.net.MediaType","evosuite",180,"GUAVA-212_com.google.common.net.MediaType_180",2.602065124,0.0556133439130853
"71","GUAVA-212","com.google.common.net.MediaType","randoop",60,"GUAVA-212_com.google.common.net.MediaType_60",2.45506863802163,0.0275515987221528
"72","GUAVA-212","com.google.common.net.MediaType","randoop",180,"GUAVA-212_com.google.common.net.MediaType_180",2.633549344273,0.0463125210639996
"73","GUAVA-224","com.google.common.primitives.UnsignedLongs","evosuite",60,"GUAVA-224_com.google.common.primitives.UnsignedLongs_60",6.99285714,0.0150584710718071
"74","GUAVA-224","com.google.common.primitives.UnsignedLongs","evosuite",180,"GUAVA-224_com.google.common.primitives.UnsignedLongs_180",6.29642857,2.21236796065769
"75","GUAVA-224","com.google.common.primitives.UnsignedLongs","randoop",60,"GUAVA-224_com.google.common.primitives.UnsignedLongs_60",6.33300769436384,0.1437819705047
"76","GUAVA-224","com.google.common.primitives.UnsignedLongs","randoop",180,"GUAVA-224_com.google.common.primitives.UnsignedLongs_180",5.92484593131593,1.61366621518645
"77","GUAVA-240","com.google.common.collect.FilteredMultimapValues","evosuite",60,"GUAVA-240_com.google.common.collect.FilteredMultimapValues_60",0.0689603854595503,0.0866849999140283
