tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,PDFBOX-127,org.apache.pdfbox.pdfparser.PDFObjectStreamParser,7,231,56389,18052,8,0,0,0,32,14,43.75,14,3,21.428572,18,6,33.333336,6,33.333336,12,60,2
evosuite,PDFBOX-234,org.apache.pdfbox.pdmodel.interactive.action.PDActionSound,3,236,55386,22425,27,0,0,0,43,42,97.674416,18,16,88.88889,31,31,100.0,0,0.0,31,60,2
evosuite,SPOON-253,spoon.pattern.internal.parameter.MapParameterInfo,10,222,57481,164929,24,0,2,0,57,52,91.228065,32,27,84.375,33,29,87.878784,0,0.0,33,60,2
evosuite,GUAVA-181,com.google.common.primitives.SignedBytes,2,242,56337,9148,44,0,1,0,38,38,100.0,22,22,100.0,42,42,100.0,42,100.0,0,60,2
evosuite,GUAVA-212,com.google.common.net.MediaType,1,247,56178,5863,63,0,0,0,284,270,95.07042,74,59,79.72973,76,72,94.73685,0,0.0,76,60,2
evosuite,FESCAR-12,com.alibaba.fescar.core.rpc.netty.RpcServerHandler,5,227,47041,6268,12,0,0,0,26,26,100.0,8,7,87.5,6,6,100.0,6,100.0,0,60,2
evosuite,PDFBOX-91,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent,3,236,55889,20374,20,0,0,0,19,15,78.94737,8,2,25.0,15,10,66.66667,0,0.0,15,60,2
evosuite,PDFBOX-117,org.apache.pdfbox.filter.Predictor,10,213,55767,37478,45,0,0,0,110,108,98.18182,69,67,97.10145,175,175,100.0,0,0.0,175,60,2
evosuite,FESCAR-8,com.alibaba.fescar.core.rpc.netty.NettyPoolableFactory,8,230,66063,91404,18,0,0,0,60,35,58.333332,36,18,50.0,30,18,60.000004,0,0.0,30,60,2
evosuite,GUAVA-129,com.google.common.collect.SparseImmutableTable,8,225,47138,4112,1,0,0,0,62,22,35.48387,12,5,41.666664,16,7,43.75,7,43.75,9,60,2
evosuite,GUAVA-181,com.google.common.primitives.SignedBytes,1,222,43943,1113,32,0,0,0,38,38,100.0,22,22,100.0,42,42,100.0,42,100.0,0,60,2
evosuite,GUAVA-102,com.google.common.collect.LinkedListMultimap,4,234,53592,4197,8,0,0,0,124,17,13.709678,38,1,2.631579,61,12,19.67213,12,19.67213,49,60,2
evosuite,PDFBOX-265,org.apache.pdfbox.pdmodel.font.PDType3Font,8,228,56246,38333,45,0,0,0,108,66,61.11111,64,27,42.1875,68,42,61.764706,0,0.0,68,60,2
evosuite,PDFBOX-26,org.apache.pdfbox.pdmodel.encryption.SecurityProvider,7,224,45393,127116,3,0,0,0,19,11,57.894737,2,2,100.0,2,2,100.0,2,100.0,0,60,2
evosuite,FESCAR-23,com.alibaba.fescar.core.protocol.MergeResultMessage,2,235,53362,7549,23,0,0,0,42,38,90.47619,14,11,78.57143,28,27,96.42857,0,0.0,28,60,2
evosuite,FESCAR-5,com.alibaba.fescar.core.protocol.MessageFuture,3,224,55798,2810,13,0,0,0,22,22,100.0,10,10,100.0,13,13,100.0,13,100.0,0,60,2
evosuite,FESCAR-13,com.alibaba.fescar.core.exception.TransactionExceptionCode,10,247,40938,927,6,0,0,0,21,21,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,SPOON-169,spoon.reflect.visitor.ImportScannerImpl,6,236,48900,1995,1,0,0,0,439,14,3.189066,364,0,0.0,143,0,0.0,0,0.0,143,60,2
evosuite,GUAVA-224,com.google.common.primitives.UnsignedLongs,6,230,49109,1600,74,0,0,0,112,108,96.42857,70,70,100.0,140,140,100.0,140,100.0,0,60,2
evosuite,FESCAR-15,com.alibaba.fescar.core.rpc.netty.RpcServer,7,233,60830,88902,6,0,0,0,122,1,0.8196721,52,0,0.0,49,0,0.0,0,0.0,49,60,2
evosuite,GUAVA-169,com.google.common.math.LongMath,2,233,55830,2154,184,0,1,0,265,255,96.22642,270,255,94.44444,142,141,99.29578,141,99.29578,1,60,2
evosuite,SPOON-155,spoon.reflect.visitor.filter.AllMethodsSameSignatureFunction,3,239,56940,223785,4,0,0,0,67,9,13.432837,32,0,0.0,28,2,7.1428576,0,0.0,28,60,2
evosuite,GUAVA-95,com.google.common.collect.ComparatorOrdering,3,250,58952,4632,5,0,0,0,12,3,25.0,4,0,0.0,8,0,0.0,0,0.0,8,60,2
evosuite,GUAVA-22,com.google.common.graph.Graphs,2,229,55555,5583,51,0,0,0,153,74,48.366013,108,52,48.148148,101,62,61.38614,0,0.0,101,60,2
evosuite,GUAVA-159,com.google.common.primitives.ParseRequest,2,238,41163,817,9,0,0,0,19,19,100.0,12,12,100.0,8,8,100.0,4,50.0,4,60,2
evosuite,GUAVA-22,com.google.common.graph.Graphs,6,219,55449,5568,53,0,0,0,153,105,68.62746,108,69,63.88889,101,78,77.22772,0,0.0,101,60,2
evosuite,PDFBOX-214,org.apache.pdfbox.pdfparser.EndstreamOutputStream,9,229,44123,1012,21,0,0,0,41,41,100.0,40,40,100.0,44,44,100.0,17,38.636364,27,60,2
evosuite,GUAVA-47,com.google.common.collect.FilteredEntryMultimap,10,230,121007,6,0,0,0,0,38,0,0.0,14,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,SPOON-169,spoon.reflect.visitor.ImportScannerImpl,1,243,116349,20,9,1,0,0,439,0,0.0,364,0,0.0,143,0,0.0,0,0.0,143,60,2
evosuite,GUAVA-110,com.google.common.collect.LexicographicalOrdering,9,225,43885,333,1,0,0,0,23,0,0.0,12,0,0.0,16,0,0.0,0,0.0,16,60,2
evosuite,FESCAR-37,com.alibaba.fescar.core.rpc.RpcContext,8,230,55636,8936,44,0,0,0,94,89,94.680855,34,31,91.17647,32,31,96.875,0,0.0,32,60,2
evosuite,FESCAR-8,com.alibaba.fescar.core.rpc.netty.NettyPoolableFactory,9,222,66546,92070,20,0,1,0,60,37,61.666668,36,21,58.333332,30,20,66.66667,0,0.0,30,60,2
evosuite,PDFBOX-22,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret,3,222,55687,20624,15,0,0,0,36,23,63.88889,14,9,64.28571,21,11,52.380955,0,0.0,21,60,2
evosuite,FESCAR-32,com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest,7,229,55574,7825,26,0,0,0,52,50,96.15385,16,15,93.75,23,21,91.30435,21,91.30435,2,60,2
evosuite,PDFBOX-127,org.apache.pdfbox.pdfparser.PDFObjectStreamParser,9,230,56553,13357,6,0,0,0,32,13,40.625,14,3,21.428572,18,6,33.333336,6,33.333336,12,60,2
evosuite,SPOON-169,spoon.reflect.visitor.ImportScannerImpl,2,265,108022,27,4,1,0,0,439,0,0.0,364,0,0.0,143,0,0.0,0,0.0,143,60,2
evosuite,GUAVA-212,com.google.common.net.MediaType,8,225,56179,5811,62,0,0,0,284,254,89.43662,74,55,74.324326,76,70,92.10526,0,0.0,76,60,2
evosuite,PDFBOX-285,org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature,8,243,56185,55215,78,0,0,0,91,88,96.7033,22,17,77.27273,64,61,95.3125,0,0.0,64,60,2
evosuite,PDFBOX-91,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent,7,229,55530,24514,21,0,0,0,19,18,94.73685,8,7,87.5,15,14,93.333336,0,0.0,15,60,2
evosuite,FESCAR-28,com.alibaba.fescar.core.rpc.ClientType,3,233,40843,960,6,0,0,0,8,8,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,FESCAR-15,com.alibaba.fescar.core.rpc.netty.RpcServer,3,244,60735,88810,7,0,0,0,122,1,0.8196721,52,0,0.0,49,0,0.0,0,0.0,49,60,2
evosuite,PDFBOX-278,org.apache.pdfbox.pdfwriter.ContentStreamWriter,9,239,56260,28346,18,0,0,0,77,77,100.0,30,29,96.666664,58,58,100.0,0,0.0,58,60,2
evosuite,GUAVA-39,com.google.common.collect.TreeMultiset,4,225,56187,5905,36,0,0,0,195,97,49.74359,96,34,35.416664,129,61,47.28682,0,0.0,129,60,2
evosuite,GUAVA-95,com.google.common.collect.ComparatorOrdering,2,251,58619,15,5,1,0,0,12,0,0.0,4,0,0.0,8,0,0.0,0,0.0,8,60,2
evosuite,PDFBOX-235,org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder,8,233,46356,18,0,0,0,0,34,0,0.0,8,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,SPOON-25,spoon.pattern.internal.ValueConvertorImpl,8,215,118955,145504,1,0,0,0,80,2,2.5,84,0,0.0,72,0,0.0,0,0.0,72,60,2
evosuite,FESCAR-32,com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest,1,220,55577,8497,28,0,0,0,52,51,98.07692,16,15,93.75,23,22,95.652176,22,95.652176,1,60,2
evosuite,PDFBOX-127,org.apache.pdfbox.pdfparser.PDFObjectStreamParser,3,234,55678,19464,8,0,0,0,32,20,62.5,14,5,35.714287,18,8,44.444447,0,0.0,18,60,2
evosuite,FESCAR-34,com.alibaba.fescar.core.protocol.ResultCode,2,250,41184,927,8,0,0,0,8,0,0.0,4,0,0.0,6,0,0.0,0,0.0,6,60,2
evosuite,FESCAR-5,com.alibaba.fescar.core.protocol.MessageFuture,8,238,46637,1040,11,0,0,0,22,21,95.454544,10,9,90.0,13,13,100.0,13,100.0,0,60,2
evosuite,FESCAR-7,com.alibaba.fescar.core.rpc.netty.MessageCodecHandler,7,224,55876,9347,17,0,3,0,130,94,72.30769,64,43,67.1875,58,50,86.206894,0,0.0,58,60,2
evosuite,GUAVA-110,com.google.common.collect.LexicographicalOrdering,6,229,42913,355,1,0,0,0,23,0,0.0,12,0,0.0,16,0,0.0,0,0.0,16,60,2
evosuite,FESCAR-10,com.alibaba.fescar.core.model.BranchType,7,233,40983,826,6,0,0,0,8,8,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,GUAVA-110,com.google.common.collect.LexicographicalOrdering,5,248,54390,352,1,0,0,0,23,0,0.0,12,0,0.0,16,0,0.0,0,0.0,16,60,2
evosuite,FESCAR-9,com.alibaba.fescar.core.protocol.transaction.GlobalBeginRequest,1,223,52972,8022,15,0,0,0,30,30,100.0,6,6,100.0,11,11,100.0,11,100.0,0,60,2
evosuite,GUAVA-177,com.google.common.primitives.Doubles,5,226,53219,1524,78,0,0,0,104,103,99.03847,58,57,98.27586,113,113,100.0,113,100.0,0,60,2
evosuite,FESCAR-23,com.alibaba.fescar.core.protocol.MergeResultMessage,5,242,52075,7701,22,0,0,0,42,38,90.47619,14,10,71.42857,28,27,96.42857,0,0.0,28,60,2
evosuite,FESCAR-33,com.alibaba.fescar.core.model.GlobalStatus,9,233,41067,1018,6,0,0,0,21,21,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,GUAVA-110,com.google.common.collect.LexicographicalOrdering,10,226,66996,14,1,1,0,0,23,0,0.0,12,0,0.0,16,0,0.0,0,0.0,16,60,2
evosuite,PDFBOX-198,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine,10,246,55747,9039,61,0,1,0,144,96,66.66667,82,27,32.92683,92,51,55.43478,0,0.0,92,60,2
evosuite,GUAVA-47,com.google.common.collect.FilteredEntryMultimap,1,227,117740,5434,3,0,0,0,38,4,10.526316,14,0,0.0,26,0,0.0,0,0.0,26,60,2
evosuite,FESCAR-32,com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest,2,220,55714,8321,29,0,0,0,52,51,98.07692,16,15,93.75,23,22,95.652176,22,95.652176,1,60,2
evosuite,SPOON-105,spoon.support.compiler.jdt.PositionBuilder,5,233,121010,17,0,0,0,0,363,0,0.0,278,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,FESCAR-42,com.alibaba.fescar.core.rpc.DefaultServerMessageListenerImpl,7,218,68396,87030,7,0,1,0,68,17,25.0,28,4,14.285715,24,4,16.666668,4,16.666668,20,60,2
evosuite,FESCAR-12,com.alibaba.fescar.core.rpc.netty.RpcServerHandler,10,240,49090,6190,12,0,0,0,26,26,100.0,8,7,87.5,6,6,100.0,6,100.0,0,60,2
evosuite,FESCAR-6,com.alibaba.fescar.core.rpc.netty.TmRpcClient,2,228,63549,84647,2,0,2,0,179,6,3.3519554,74,2,2.7027028,72,0,0.0,0,0.0,72,60,2
evosuite,GUAVA-39,com.google.common.collect.TreeMultiset,6,227,55485,5353,17,0,0,0,195,85,43.589745,96,22,22.916668,129,52,40.310078,52,40.310078,77,60,2
evosuite,PDFBOX-234,org.apache.pdfbox.pdmodel.interactive.action.PDActionSound,2,225,55311,18353,27,0,0,0,43,42,97.674416,18,16,88.88889,31,31,100.0,0,0.0,31,60,2
evosuite,FESCAR-32,com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest,3,231,55815,8538,27,0,0,0,52,51,98.07692,16,15,93.75,23,22,95.652176,22,95.652176,1,60,2
evosuite,FESCAR-13,com.alibaba.fescar.core.exception.TransactionExceptionCode,3,228,40997,952,6,0,0,0,21,21,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,FESCAR-8,com.alibaba.fescar.core.rpc.netty.NettyPoolableFactory,5,231,65649,91819,17,0,4,0,60,31,51.666664,36,16,44.444447,30,17,56.666668,0,0.0,30,60,2
